geo_point_2d;geo_shape;type_jard;nom_ev;adresse;arrdt;nom_gerant;adr_gerant;charte
48.8712000097, 2.38624773079;"{""type"": ""Point"", ""coordinates"": [2.386247730785581, 48.87120000968905]}";Jardin partagé;Square Alexandre Luquet;Square Alexandre Luquet / passage Piat;20;Centre social Archipelia;17 rue des Envierges, 75020 paris;Charte Main Verte
48.8932717676, 2.34749651564;"{""type"": ""Point"", ""coordinates"": [2.347496515638961, 48.8932717676235]}";Jardin partagé;Baudélire;27 rue Baudélique;18;association vert à soi;11 rue Eugène Süe, 75018 Paris;Charte Main Verte
48.8683539862, 2.4086142875;"{""type"": ""Point"", ""coordinates"": [2.408614287495959, 48.86835398615971]}";Jardin partagé;Square de la Justice;Rue de la Justice;19;association la terrasse du T3;50 rue de la justice, 75020 Paris;Pas de Charte
48.8880714682, 2.35156949299;"{""type"": ""Point"", ""coordinates"": [2.351569492987134, 48.888071468206036]}";Jardin partagé;36 rue des Poissonniers;36 rue des Poissonniers;18;;;Charte Main Verte
48.8376030917, 2.40616861278;"{""type"": ""Point"", ""coordinates"": [2.406168612782671, 48.83760309166581]}";Jardin partagé;Le jardin Bel Air;Rue Rottembourg;12;Association Graine de Partage;;
48.8874655258, 2.38261276221;"{""type"": ""Point"", ""coordinates"": [2.382612762211809, 48.88746552577767]}";Jardin partagé;Jardin d'Léon;18 rue Léon Giraud;19;Espace 19 - Centre social et culturel espace Ardennes;15 rue des Ardennes 75019 Paris;Charte Main Verte
48.8418657768, 2.39161084887;"{""type"": ""Point"", ""coordinates"": [2.391610848874167, 48.841865776810586]}";Jardin partagé;Jardin du nid;22-26 rue Georges et Maï Politzer;12;La Fayette acceuil;Centre Chenal Saint Blaise 14-16 rue du clos, 75020 Paris;Charte Main Verte
48.8926513931, 2.35870526979;"{""type"": ""Point"", ""coordinates"": [2.358705269790127, 48.89265139307585]}";Jardin partagé;Eco Box;7 impasse de la Chapelle;18;Eco-Box;37 rue Pajol 75018;Charte Main Verte
48.8837848578, 2.38437566931;"{""type"": ""Point"", ""coordinates"": [2.384375669313834, 48.883784857803384]}";Jardin partagé;Eglise Saint-Serge;93 rue de Crimée;19;Association Jardin Saint Serge;25 rue Pradier, 75019;Charte Main Verte
48.8575822507, 2.38645358424;"{""type"": ""Point"", ""coordinates"": [2.386453584236632, 48.85758225071973]}";Jardin partagé;Jardin des jeunes pouces;7/13 passage de la Folie Régnault;11;Pouce on plante;45 bd de Ménilmontant, 75011 Paris;Charte Main Verte
48.8698444192, 2.34994892954;"{""type"": ""Point"", ""coordinates"": [2.349948929537606, 48.86984441918155]}";Jardin pédagogique;Square Jacques Bidault;20 rue de la Lune;2;;;
48.8798411346, 2.31149230901;"{""type"": ""Point"", ""coordinates"": [2.311492309012289, 48.87984113455997]}";Jardin pédagogique;Parc Monceau;3 boulevard de Coucelles;8;;;
48.8211741168, 2.35723954964;"{""type"": ""Point"", ""coordinates"": [2.357239549644948, 48.82117411683952]}";Jardin pédagogique;Jardin du Moulin de la Pointe;164 avenue d'Italie;13;;;
48.8562077004, 2.40241813826;"{""type"": ""Point"", ""coordinates"": [2.402418138257503, 48.85620770038664]}";Jardin partagé;Le Jardin sur le Toit;89/91 rue des Vignoles;20;La Fayette Accueil;Centre Chenal Saint Blaise 14-16 rue du clos, 75020 Paris;Charte Main Verte
48.8938544565, 2.31398543201;"{""type"": ""Point"", ""coordinates"": [2.313985432009982, 48.89385445645018]}";Jardin partagé;La Framboisine;183 avenue de Clichy;17;Association CEFIA;102 rue de la Jonquière, 75017 Paris;Charte Main Verte
48.8310409021, 2.32075251699;"{""type"": ""Point"", ""coordinates"": [2.320752516988787, 48.83104090211687]}";Jardin partagé;Jardin partagé Chanoine Viollet;40 rue Hippolyte Mainderon;14;Les jardins partagés du 14ème;4 sq André Lichtenberger, 75014 Paris;Charte Main Verte
48.8251590606, 2.32270120465;"{""type"": ""Point"", ""coordinates"": [2.322701204654688, 48.825159060626945]}";Jardin partagé;Vert Tige;Rue de Coulmiers / face aux N° 19 à 35;14;Vert tige;3 av Henri Ginoux, 92120 Montrouge;Charte Main Verte
48.8334113823, 2.31390075694;"{""type"": ""Point"", ""coordinates"": [2.313900756936956, 48.83341138225581]}";Jardin partagé;Jardin de Falbala;Square du Moulin de la Vierge / 20 rue de Gergovie;14;Association du jardin de Falbala;14 rue Gergovie, 75014 Paris;Charte Main Verte
48.8745899433, 2.36236269901;"{""type"": ""Point"", ""coordinates"": [2.362362699007172, 48.87458994333529]}";Jardin partagé;Le Poireau Agile;Jardin Villemin / 14 rue des Récollets;10;Ville Mains Jardins;206 quai de Valmy, 75010 Paris;Charte Main Verte
48.8986044854, 2.34095459411;"{""type"": ""Point"", ""coordinates"": [2.340954594107045, 48.89860448535312]}";Jardin partagé;Labori-Clignancourt;12 rue Eugène Fournière;18;;;Charte Main Verte
48.8899692778, 2.38384780329;"{""type"": ""Point"", ""coordinates"": [2.383847803291558, 48.889969277773304]}";Jardin partagé;Charmante Petite Campagne Urbaine (CPCU);Rue de la Marne;19;;;Charte Main Verte
48.8335500244, 2.31950990522;"{""type"": ""Point"", ""coordinates"": [2.319509905219512, 48.83355002438251]}";Jardin partagé;Le Lapin Ouvrier;Jardin de la ZAC Didot / place de la garenne;14;Association le lapin ouvrier;113 rue du chateau, 75014 Paris;Charte Main Verte
48.852499525, 2.37931221702;"{""type"": ""Point"", ""coordinates"": [2.379312217020524, 48.85249952503934]}";Jardin partagé;Le Jardin Nomade;48 rue Trousseau / angle rue Delescluze;11;Association quartier St Bernard;16 rue Charles Delescluze, 75011 Paris;Charte Main Verte
48.8522718766, 2.38560975718;"{""type"": ""Point"", ""coordinates"": [2.38560975717559, 48.85227187657734]}";Jardin partagé;Folie Titon;28 rue Chanzy / 17 rue Titon;11;Association Cité Prost;10 cité de l'ameublement, 75011 Paris;Charte Main Verte
48.8225998985, 2.35768468087;"{""type"": ""Point"", ""coordinates"": [2.357684680869398, 48.822599898450775]}";Jardin partagé;Mots et Merveilles;Jardin Paul Nizan / 9 rue de l'Industrie;13;Centre d'administration de la poterne des Peupliers;1 rue Gouthiere, 75013 Paris;Charte Main Verte
48.8850204928, 2.38260535591;"{""type"": ""Point"", ""coordinates"": [2.382605355910087, 48.88502049282247]}";Jardin partagé;des Petits Passages;33 rue Petit;19;J2P;32 rue Petit, 75019 Paris;Charte Main Verte
48.8553438403, 2.40384980445;"{""type"": ""Point"", ""coordinates"": [2.403849804445182, 48.85534384033363]}";Jardin partagé et d'insertion;Le Jardin sur le Toit;93 rue des Haies;20;;;Charte Main Verte
48.8638031494, 2.41171477425;"{""type"": ""Point"", ""coordinates"": [2.411714774245994, 48.86380314941412]}";Jardin partagé;Refuge urbain Jospeh Python-Duvernois;entre la rue Henri Duvernois et la rue Joseph Python;20;Multi-colors;2 square d'Amiens, 75020 Paris;Charte Main Verte
48.8207036782, 2.3511847756;"{""type"": ""Point"", ""coordinates"": [2.351184775599088, 48.8207036781747]}";Jardin partagé;de la Poterne des Peupliers;1 rue de la Gouthière;13;Centre d'administration de la poterne des Peupliers;1 rue Gouthiere,75013 Paris;Charte Main Verte
48.8562520639, 2.3809309641;"{""type"": ""Point"", ""coordinates"": [2.380930964102508, 48.856252063871125]}";Jardin pédagogique et d'insertion;Jardin Godefroy Cavaignac;Jardin Godefroy Cavaignac;11;;;
48.8722014539, 2.38697509085;"{""type"": ""Point"", ""coordinates"": [2.386975090845162, 48.872201453872805]}";Jardin partagé;Jardingue de Belleville;17 rue des Envierges;20;Centre social Archipelia;17 rue des Envierges, 75020 Paris;Charte Main Verte
48.8339239956, 2.40122582452;"{""type"": ""Point"", ""coordinates"": [2.401225824515084, 48.83392399555331]}";Jardin potagé;Claude Decaen;Rue Claude Decaen;12;;;
48.8881831334, 2.38451255114;"{""type"": ""Point"", ""coordinates"": [2.384512551138663, 48.88818313337031]}";Jardin potagé;Ourcq-Jaurès;6/8 rue de l'Ourcq;19;;;
48.87563995, 2.36969685347;"{""type"": ""Point"", ""coordinates"": [2.369696853469023, 48.87563994998789]}";Jardin pédagogique;Jardin Juliette Dodu;1/5 rue Sambre et Mause;10;;;
48.8511628966, 2.28482417922;"{""type"": ""Point"", ""coordinates"": [2.284824179216471, 48.85116289661]}";Jardin pédagogique;Square Bela Bartok;Place de Brazzaville;15;;;
48.8510619832, 2.37120249795;"{""type"": ""Point"", ""coordinates"": [2.371202497952046, 48.85106198322212]}";Jardin thérapeutique;Hôpital des 15-20;28 rue de Charenton;12;;;
48.8586333922, 2.35648512401;"{""type"": ""Point"", ""coordinates"": [2.356485124005716, 48.85863339220367]}";Jardin partagé;Blancs Manteaux;21 rue des Blancs Manteaux;4;Les jardiniers du 4ème;30 Quai des Célestins, 75004 Paris;Charte Main Verte
48.8497615243, 2.41379858016;"{""type"": ""Point"", ""coordinates"": [2.413798580161941, 48.849761524304554]}";Jardin partagé;Le Clos Garcia;Rue Cristino Garcia;20;Le Clos Garcia;19 rue Cristino Garcia, 75020 Paris;Charte Main Verte
48.8757007079, 2.35600548001;"{""type"": ""Point"", ""coordinates"": [2.356005480010255, 48.8757007078645]}";Jardin partagé;Victor Schoelsher;107bis rue du Fbg St-Denisv / face au square Alban Satragne;10;Jardins PLU's;22 bis rue de Paradis, 75010 Paris;Charte Main Verte
48.885763136, 2.35194369383;"{""type"": ""Point"", ""coordinates"": [2.351943693826645, 48.885763136015065]}";Jardin partagé;L'Univert;33/35 rue Polonceau;18;Association  Halage;6 rue Arnold Géraux, 93450 l'Ile Saint-Denis;Charte Main Verte
48.8520370184, 2.39072423127;"{""type"": ""Point"", ""coordinates"": [2.390724231268989, 48.85203701840295]}";Jardin pédagogique;Impasse des Jardiniers;Square des Jardiniers / Impasse des Jardiniers;11;;;
48.8291911738, 2.35993823424;"{""type"": ""Point"", ""coordinates"": [2.359938234237148, 48.829191173815076]}";Jardin partagé;Jardin Partagé de Choisy;4 rue George Eastman;13;Association Jardin Choisi;155 rue du Chateau des Rentiers - Esc 37, 75013 Paris;
48.8709311126, 2.41139831174;"{""type"": ""Point"", ""coordinates"": [2.411398311737581, 48.87093111263959]}";Jardin partagé;Jardin partagé des Boulistes de Ménilmontant;40 rue Le Vau;20;Boulistes de Ménilmontant;;
48.8302115027, 2.29870033663;"{""type"": ""Point"", ""coordinates"": [2.29870033662658, 48.83021150270249]}";Jardin partagé;"Jardin partagé des Perichaux 
jardin partagé des Périchaux";17 rue des Périchaux;15;Entr'Aide  Catherine Launay;41 rue des Périchaux, 75015 Paris;Charte Main Verte
48.8497998234, 2.38040238249;"{""type"": ""Point"", ""coordinates"": [2.380402382494538, 48.849799823388274]}";Jardin partagé;Aligresse;Jardin Léo Ferré / 3 impasse Druinot;12;Commune libre d'Aligre;3 rue d'Aligre, 75012 Paris;Charte Main Verte
48.891292675, 2.3151611204;"{""type"": ""Point"", ""coordinates"": [2.315161120401888, 48.89129267496958]}";Jardin partagé;Jardin de Perlimpinpin;147 rue Cardinet / Parc Martin Luther King - Clichy Batignolles;17;Le Jardin de Perlimpinpin;10 rue de Puteaux, 75017 Paris;Charte Main Verte
48.8570127769, 2.40697424937;"{""type"": ""Point"", ""coordinates"": [2.406974249374814, 48.85701277692669]}";Jardin partagé;Jardin du Béton Saint Blaise;Centre Chenal Saint Blaise / 16 rue du Clos;20;Lafayette Accueil;Centre Chenal Saint Blaise 14-16 rue du clos 75020 Paris;Charte Main Verte
48.8708454431, 2.39267397255;"{""type"": ""Point"", ""coordinates"": [2.392673972546885, 48.87084544313483]}";Jardin partagé;Leroy Sème;2bis cité Leroy / à hauteur du 317 rue des Pyrénées;20;Leroy sème;Siège Social Maison des associations du 20e - MDA20 boite 98  - 1/3 rue Frédérick Lemaître  75020 Paris;Charte Main Verte
48.8323125654, 2.31937270561;"{""type"": ""Point"", ""coordinates"": [2.319372705612122, 48.832312565428495]}";Jardin partagé;Jardin des Fêtes;2 rue des Thermopyles;14;Association UDé ( Urbanisme et Démocratie );24 rue des thermophiles, 75014 Paris;Pas de Charte
48.8998026569, 2.36634050323;"{""type"": ""Point"", ""coordinates"": [2.3663405032314, 48.89980265689355]}";Jardin potagé;Charles Hermite;Rue Charles Hermite;18;;;
48.8871306151, 2.37085662626;"{""type"": ""Point"", ""coordinates"": [2.370856626260915, 48.887130615142915]}";Jardin potagé;Square Tanger Maroc;47 avenue de Flandre;19;;;
48.8680770712, 2.38872529664;"{""type"": ""Point"", ""coordinates"": [2.388725296637997, 48.86807707124318]}";Jardin potagé;Centre des Amandiers;Terrassue au 110 rue des Amandiers;20;;;
48.8229909814, 2.34009480127;"{""type"": ""Point"", ""coordinates"": [2.340094801269222, 48.82299098144517]}";Jardin pédagogique;Parc de Montsouris;22 boulevard Jourdan;14;;;
48.8748368889, 2.35748084019;"{""type"": ""Point"", ""coordinates"": [2.357480840188606, 48.874836888927206]}";Jardin partagé;St Laurent;68 bd de Magenta / 119 rue du faubourg St Martin;10;Emmaüs;;Charte Main Verte
48.8860065566, 2.35145021174;"{""type"": ""Point"", ""coordinates"": [2.351450211740516, 48.88600655664757]}";Jardin partagé;44 rue de Polonceau;44 rue de Polonceau;18;La Goutte verte (a pris le relais de l'association Semis publics);;Charte Main Verte
